Crime Head,2016,2018,2019,2020,2021
"Assault on Women with Intent to Outrage 
her Modesty",38.0,,,,
Assault on Women with Intent to Outrage her Modesty,,52.0,26.0,5.0,15.0
Attempt to Commit Culpable Homicide,0.0,,,,
Attempt to Commit Murder,1.0,,,,
Attempt to Commit Murder/Culpable Homicide,,2.0,9.0,6.0,3.0
Cheating,8.0,27.0,41.0,14.0,14.0
Culpable Homicide not Amounting to Murder,2.0,,,,
Culpable Homicide not amounting to Murder,,1.0,1.0,1.0,0.0
Dacoity,2.0,1.0,3.0,0.0,2.0
Extortion,1.0,0.0,1.0,0.0,0.0
Forgery,3.0,12.0,6.0,1.0,0.0
Grievous Hurt,2.0,1.0,2.0,0.0,1.0
Human Trafficking,2.0,12.0,11.0,13.0,8.0
Immoral Traffic (Prevention) Act,,12.0,,,
Insult to the Modesty of Women,2.0,3.0,1.0,0.0,0.0
Kidnapping & Abduction,3.0,,,,
Kidnapping and Abduction,,4.0,5.0,7.0,3.0
Murder,12.0,11.0,13.0,7.0,9.0
Other IPC *,110.0,,,,
Other IPC Crimes,,27.0,54.0,18.0,14.0
Other SLL Crimes,,33.0,,,
Rape,19.0,27.0,12.0,16.0,14.0
Robbery,19.0,7.0,15.0,4.0,7.0
Simple Hurt,,26.0,14.0,15.0,8.0
Theft,142.0,259.0,142.0,52.0,23.0
